Year	Stumpy17	Stumpy18	Peavine
1992	790.61	534.54	683.96
1993	697.97	536.71	603
1994	800.3	624.29	702.29
1995	658.35	452.59	531.25
1996	735.33	543.79	604.81
1997	754.79	478.95	622.71
1998	653.13	423.34	525.14
1999	734.49	551.2	630.76
2000	744.65	503.58	595.46
2001	838.7	610.19	716.19
2002	805.52	626.04	711.61
2003	747.77	521.3	626.82
2004	854.02	634.56	747.6
2005	660.21	486.67	551.24
2006	765.62	584.29	675.3
2007	819.69	597.64	720.12
2008	819.93	626.51	722.57
2009	762.36	578.95	649.82
2010	728.86	542.14	610.23
2011	660.88	485.86	543.01
2012	778.93	484.09	628.05
2013	756.34	551.44	655.12
2014	824.17	499.55	678.86
2015	801.06	573.66	680.85
2016	809.82	604.32	693.55
2017	751.95	573.78	639.73
2018	818.43	596.31	692.25
2019	737.54	525.19	602.98
2020	768.26	585.86	656.14
2021	929.36	660.4	803.76
