Year	Stumpy17	Stumpy18	Peavine
1992	26.18	27.53	27.22
1993	25.91	27.2	26.82
1994	30.3	31.34	31.08
1995	26.55	27.79	27.46
1996	30.01	31.42	30.85
1997	27.66	29.16	28.77
1998	28.59	29.73	29.47
1999	27.57	28.71	28.46
2000	26.83	27.87	27.77
2001	28.12	29.38	28.97
2002	30.48	31.63	31.31
2003	30.95	32.39	31.99
2004	29.2	30.53	30.33
2005	30.45	31.71	31.58
2006	31.02	32.53	32.16
2007	29.82	30.93	30.83
2008	29.98	31.26	30.9
2009	30.22	31.5	31.39
2010	28.95	30.14	29.85
2011	26.8	27.99	27.73
2012	27.82	29	28.74
2013	29.99	31.14	30.89
2014	29.86	30.98	30.72
2015	27.15	28.54	27.92
2016	28.77	29.98	29.67
2017	30.01	31.33	30.91
2018	30.61	31.82	31.48
2019	27.27	28.57	28.18
2020	29.12	30.45	30.01
2021	31.31	32.8	32.03
