Year	Stumpy17	Stumpy18	Peavine
1992	-0.74	0.05	-0.76
1993	-2.8	-1.71	-2
1994	-0.27	0.76	0.24
1995	0.1	1.13	0.79
1996	0.11	1.03	0.58
1997	-0.5	0.5	0.25
1998	-0.07	0.9	0.61
1999	0.33	1.27	0.78
2000	-0.02	0.93	0.57
2001	-1.34	-0.24	-1.03
2002	-1.85	-0.77	-1.16
2003	3.24	4.19	3.62
2004	-0.61	0.23	-0.09
2005	0.05	0.96	0.63
2006	-0.76	0.21	-0.07
2007	-1.5	-0.63	-1.1
2008	-1.85	-0.89	-1.3
2009	1.55	2.51	1.85
2010	0.88	1.76	1.32
2011	0.89	1.91	1.14
2012	1.36	2.14	1.68
2013	-1.52	-0.54	-1.16
2014	3.76	4.82	4.01
2015	3.09	4.02	3.33
2016	-0.28	0.71	0.27
2017	-1.8	-0.85	-1.34
2018	2.59	3.5	2.96
2019	1.1	2.1	1.62
2020	0.57	1.41	1.05
2021	0.29	1.27	0.86
2022	1.6	2.67	2.01
