color1	color2	Lot_Name	Species	LOT	MOM	seed_zone 	elevation_cat	elevation_band	metal_tag	Genotype	Plant_Yr	Mort_Yr	Height_17	Height_18	Height_19	BD_19	%_alive_needles_19	Height_20	BD_20	%_alive_needles_20	Tissue_collected	Height_21	BD_21	alive_needles_21	num_needles
black	black	PILA55_1	PILA	6458	19459	526	-99	5500	3204	0	2019	-99	-99	-99	-99	-99	-99	21	5.4	100	3	-99	-99	-99	-99
black	black	PILA55_1	PILA	6458	19459	526	-99	5500	3409	0	2019	-99	-99	-99	-99	-99	-99	20	6.2	100	3	26	7.6	50	5
black	black	PILA55_1	PILA	6458	19459	526	-99	5500	3481	0	2019	-99	-99	-99	-99	-99	-99	12	6.6	100	3	-99	-99	-99	-99
black	black	PILA55_1	PILA	6458	19459	526	-99	5500	3723	0	2019	-99	-99	-99	-99	-99	-99	10	5.6	70	3	18	7.8	90	5
black	black	PILA55_1	PILA	6458	19459	526	-99	5500	3838	0	2019	-99	-99	-99	-99	-99	-99	11	6.3	95	2	16.8	8.6	100	5
black	black/green	PILA50_1	PILA	7527	19166	532	-99	5000	1372	0	2019	-99	-99	-99	-99	-99	-99	11.3	5.1	100	3	27.4	10	100	5
black	black/pink	PILA50_2	PILA	5868	19164	532	-99	5000	1349	0	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	23.4	7	100	5
black	blue	PILA50_3	PILA	6384	19411	531	-99	5000	1171	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	blue	PILA50_3	PILA	6384	19411	531	-99	5000	1845	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	blue	PILA50_3	PILA	6384	19411	531	-99	5000	3919	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	blue	PILA50_3	PILA	6384	19411	531	-99	5000	1710	0	2019	2021	-99	-99	-99	-99	-99	17.9	6.2	90	3	31	7.8	0	5
black	blue	PILA50_3	PILA	6384	19411	531	-99	5000	1305	0	2019	-99	-99	-99	-99	-99	-99	15	6.2	80	3	19	6.6	100	5
black	blue	PILA50_3	PILA	6384	19411	531	-99	5000	1520	0	2019	-99	-99	-99	-99	-99	-99	10	2.6	100	0	15.2	4.6	50	5
black	blue	PILA50_3	PILA	6384	19411	531	-99	5000	3210	0	2019	-99	-99	-99	-99	-99	-99	24	7.6	95	3	-99	-99	-99	-99
black	blue	PILA50_3	PILA	6384	19411	531	-99	5000	3718	0	2019	-99	-99	-99	-99	-99	-99	18	7.5	95	3	25	10.3	100	5
black	brown	PILA50_4	PILA	6400	19323	531	-99	5000	1546	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	brown	PILA50_4	PILA	6400	19323	531	-99	5000	1969	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	brown	PILA50_4	PILA	6400	19323	531	-99	5000	1550	0	2019	2021	-99	-99	-99	-99	-99	-99	-99	-99	-99	19	5.1	0	5
black	brown	PILA50_4	PILA	6400	19323	531	-99	5000	1365	1	2019	-99	-99	-99	-99	-99	-99	21	4.7	100	3	30.2	9	100	5
black	brown	PILA50_4	PILA	6400	19323	531	-99	5000	3134	0	2019	-99	-99	-99	-99	-99	-99	18.5	6.8	60	3	22	7.4	75	5
black	clear	PILA50_5	PILA	6402	19331	531	-99	5000	1336	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	0	-99	-99	-99	-99	-99
black	clear	PILA50_5	PILA	6402	19331	531	-99	5000	1756	0	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	14	5.4	100	5
black	green	PILA50_6	PILA	6259	19414	531	-99	5000	1348	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	green	PILA50_6	PILA	6259	19414	531	-99	5000	3316	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	green	PILA50_6	PILA	6259	19414	531	-99	5000	3420	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	green	PILA50_6	PILA	6259	19414	531	-99	5000	3926	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	green	PILA50_6	PILA	6259	19414	531	-99	5000	3340	1	2019	2021	-99	-99	-99	-99	-99	24	6.3	100	3	32	6.8	0	5
black	green	PILA50_6	PILA	6259	19414	531	-99	5000	3754	1	2019	-99	-99	-99	-99	-99	-99	13	3.9	100	2	18.2	5.9	75	5
black	green/black	PILA50_7	PILA	7527	19166	532	-99	5000	3478	0	2019	2021	-99	-99	-99	-99	-99	17	5	90	3	15	4.9	0	5
black	orange	PILA50_8	PILA	6397	19322	531	-99	5000	1180	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	orange	PILA50_8	PILA	6397	19322	531	-99	5000	1187	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	orange	PILA50_8	PILA	6397	19322	531	-99	5000	1741	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	15	3.5	-99	-99
black	orange	PILA50_8	PILA	6397	19322	531	-99	5000	3423	1	2019	2021	-99	-99	-99	-99	-99	20.5	5.3	90	3	27.8	8.2	0	5
black	orange	PILA50_8	PILA	6397	19322	531	-99	5000	1095	1	2019	-99	-99	-99	14.5	2.81	-99	17	5.4	90	2	-99	-99	-99	-99
black	orange	PILA50_8	PILA	6397	19322	531	-99	5000	1394	0	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	27.2	9.2	100	5
black	orange	PILA50_8	PILA	6397	19322	531	-99	5000	3143	0	2019	-99	-99	-99	-99	-99	-99	12	4.2	100	3	-99	-99	-99	-99
black	orange	PILA50_8	PILA	6397	19322	531	-99	5000	3388	0	2019	-99	-99	-99	-99	-99	-99	32	9.4	90	3	-99	-99	-99	-99
black	pink/purple	PILA50_9	PILA	7526	19349	531	-99	5000	1096	0	2019	2020	-99	-99	12	3.12	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	pink/purple	PILA50_9	PILA	7526	19349	531	-99	5000	3427	0	2019	-99	-99	-99	-99	-99	-99	20	7.1	100	3	26.6	7.9	75	5
black	purple	PILA50_10	PILA	6905	20356	531	-99	5000	3323	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	purple	PILA50_10	PILA	6905	20356	531	-99	5000	3176	0	2019	2021	-99	-99	-99	-99	-99	-99	-99	-99	-99	25	4.5	0	5
black	purple	PILA50_10	PILA	6905	20356	531	-99	5000	1935	1	2019	-99	-99	-99	-99	-99	-99	28	6.7	95	3	37.4	8	100	5
black	purple	PILA50_10	PILA	6905	20356	531	-99	5000	3532	0	2019	-99	-99	-99	-99	-99	-99	12	3.9	5	0	-99	-99	-99	-99
black	purple	PILA50_10	PILA	6905	20356	531	-99	5000	3900	0	2019	-99	-99	-99	-99	-99	-99	24	9.9	100	3	-99	-99	-99	-99
black	purple	PILA50_10	PILA	6905	20356	531	-99	5000	3908	1	2019	-99	-99	-99	-99	-99	-99	20	7.1	100	3	27.6	9.9	100	5
black	purple/pink	PILA50_11	PILA	7526	19349	531	-99	5000	1161	0	2019	-99	-99	-99	14	4.6	-99	23.2	6.3	30	3	28.2	8.9	50	5
black	purple/pink	PILA50_11	PILA	7526	19349	531	-99	5000	3397	1	2019	-99	-99	-99	-99	-99	-99	13	5.8	70	3	24.4	4.9	100	5
black	red	PILA50_12	PILA	7066	20355	531	-99	5000	3004	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	red	PILA50_12	PILA	7066	20355	531	-99	5000	1727	0	2019	-99	-99	-99	-99	-99	-99	16.3	5.2	60	3	-99	-99	-99	-99
black	red	PILA50_12	PILA	7066	20355	531	-99	5000	1929	0	2019	-99	-99	-99	-99	-99	-99	24	6	100	3	-99	-99	-99	-99
black	red	PILA50_12	PILA	7066	20355	531	-99	5000	3596	0	2019	-99	-99	-99	-99	-99	-99	13.4	4.4	60	3	18	4	100	5
black	red	PILA50_12	PILA	7066	20355	531	-99	5000	3712	0	2019	-99	-99	-99	-99	-99	-99	17	5.4	80	3	27.8	7	100	5
black	yellow	PILA50_13	PILA	6395	19436	531	-99	5000	1991	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black	yellow	PILA50_13	PILA	6395	19436	531	-99	5000	3279	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	0	-99	-99	-99	-99	-99
black	yellow	PILA50_13	PILA	6395	19436	531	-99	5000	3152	0	2019	2021	-99	-99	-99	-99	-99	-99	-99	-99	-99	21	4.2	0	5
black	yellow	PILA50_13	PILA	6395	19436	531	-99	5000	2726	0	2019	-99	-99	-99	-99	-99	-99	6	6	70	2	18	9.4	100	5
blue	black	PILA60_1	PILA	7557	20459	540	-99	6000	1799	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
blue	black	PILA60_1	PILA	7557	20459	540	-99	6000	3125	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
blue	black	PILA60_1	PILA	7557	20459	540	-99	6000	3168	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	0	-99	-99	-99	-99	-99
blue	black	PILA60_1	PILA	7557	20459	540	-99	6000	3173	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	0	-99	-99	-99	-99	-99
blue	black	PILA60_1	PILA	7557	20459	540	-99	6000	3355	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
blue	green	PILA60_2	PILA	7558	20463	540	-99	6000	1375	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
blue	green	PILA60_2	PILA	7558	20463	540	-99	6000	1733	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
blue	green	PILA60_2	PILA	7558	20463	540	-99	6000	1880	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
blue	green	PILA60_2	PILA	7558	20463	540	-99	6000	3182	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
blue	green	PILA60_2	PILA	7558	20463	540	-99	6000	3441	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	0	-99	-99	-99	-99	-99
blue	green	PILA60_2	PILA	7558	20463	540	-99	6000	3902	1	2019	2021	-99	-99	-99	-99	-99	12.8	3.7	95	3	-99	-99	-99	-99
blue	green	PILA60_2	PILA	7558	20463	540	-99	6000	3201	1	2019	-99	-99	-99	-99	-99	-99	24.3	6.4	85	3	-99	-99	-99	-99
blue	green	PILA60_2	PILA	7558	20463	540	-99	6000	3265	1	2019	-99	-99	-99	-99	-99	-99	26.5	11.1	95	3	48.4	11.7	100	5
blue	green	PILA60_2	PILA	7558	20463	540	-99	6000	3371	0	2019	-99	-99	-99	-99	-99	-99	22	5.1	100	3	31.2	7.8	100	5
blue	green	PILA60_2	PILA	7558	20463	540	-99	6000	3839	1	2019	-99	-99	-99	-99	-99	-99	14	5.1	90	3	21.8	6.7	100	5
blue	green	PILA60_2	PILA	7558	20463	540	-99	6000	3921	0	2019	-99	-99	-99	-99	-99	-99	29.5	5.5	100	3	-99	-99	-99	-99
blue	green	PILA60_2	PILA	7558	20463	540	-99	6000	3993	0	2019	-99	-99	-99	-99	-99	-99	18	4.9	100	2	-99	-99	-99	-99
blue	orange	PILA60_3	PILA	7556	20450	540	-99	6000	1898	0	2019	-99	-99	-99	-99	-99	-99	17.5	4.3	90	3	-99	-99	-99	-99
blue	orange	PILA60_3	PILA	7556	20450	540	-99	6000	2189	0	2019	-99	-99	-99	-99	-99	-99	9.3	6.1	100	3	15.6	5.3	100	5
blue	orange	PILA60_3	PILA	7556	20450	540	-99	6000	3337	0	2019	-99	-99	-99	-99	-99	-99	17.3	6.2	85	3	35.2	12.2	100	5
blue	orange	PILA60_3	PILA	7556	20450	540	-99	6000	3440	1	2019	-99	-99	-99	-99	-99	-99	14	3.8	90	3	-99	-99	-99	-99
blue	orange	PILA60_3	PILA	7556	20450	540	-99	6000	3750	0	2019	-99	-99	-99	-99	-99	-99	17	3.9	70	2	-99	-99	-99	-99
blue	pink	PILA60_4	PILA	7559	20464	540	-99	6000	3161	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	0	-99	-99	-99	-99	-99
