Year	Stumpy17	Stumpy18	Peavine
1992	892.07	870.41	804.7
1993	1742.45	1691.41	1664.68
1994	814.31	792.47	761.03
1995	2272.8798	2203.8699	2156
1996	1759.04	1659.01	1637.84
1997	1944.95	1865.1299	1775.1798
1998	1988.47	1954.73	1894.58
1999	1519.26	1444.46	1420.67
2000	1486.19	1451.43	1418.5
2001	877.09	852.72	849.37
2002	1272.06	1231.2	1165.72
2003	1382.97	1320.59	1277.29
2004	1018.15	971.29	945.01
2005	1753.73	1717.66	1662.28
2006	2066.2599	1991.6799	1920.7599
2007	993.11	951.19	921.46
2008	931.77	891.24	851.57
2009	1243.71	1203.63	1160.86
2010	1289.16	1267.12	1238.15
2011	2038.37	2000.68	1939.11
2012	1034.28	1040.2	966.1
2013	1187.67	1169.49	1105.95
2014	898.6	880.06	853.29
2015	873.46	857.78	825.91
2016	1521.11	1478.69	1445.03
2017	2778.71	2680.2999	2626.4498
2018	1282.42	1257.71	1190.78
2019	1866.11	1810.83	1797.44
2020	938.95	911.65	907.5
2021	696.03	678.01	664.33
