Ziptie	Lot_Name	Species	seed_zone	elevation_cat	elevation_band	lot	tree_num	metal_tag	Genotype	Plant_Yr	Mort_Yr	Height_17	BD_17	%_alive_needles_17	Height_18	BD_18	%_alive_needles_18	Height_19	BD_19	%_alive_needles_19	Height_20	BD_20	%_alive_needles_20	Needles?	Height_21	BD_21	alive_needles_21	num_needles
AquaBlue	PILA55_2	PILA	531	-99	5500	-99	30	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
AquaBlue	PILA55_2	PILA	531	-99	5500	-99	31	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
AquaBlue	PILA55_2	PILA	531	-99	5500	-99	33	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
AquaBlue	PILA55_2	PILA	531	-99	5500	-99	34	-99	0	2017	2017	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
AquaBlue	PILA55_2	PILA	531	-99	5500	-99	1	393	0	2017	2020	14.5	3.8	-99	-99	-99	-99	18.5	6.88	50	-99	-99	-99	0	-99	-99	-99	-99
AquaBlue	PILA55_2	PILA	531	-99	5500	-99	8	-99	0	2017	2017	11	2.9	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
AquaBlue	PILA55_2	PILA	531	-99	5500	-99	9	-99	0	2017	2017	13	2.9	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
AquaBlue	PILA55_2	PILA	531	-99	5500	-99	10	-99	0	2017	2017	12	3.9	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
AquaBlue	PILA55_2	PILA	531	-99	5500	-99	11	-99	0	2017	2017	-99	-99	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
AquaBlue	PILA55_2	PILA	531	-99	5500	-99	13	-99	0	2017	2017	12	3.2	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
AquaBlue	PILA55_2	PILA	531	-99	5500	-99	15	-99	0	2017	2017	12	2.1	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
AquaBlue	PILA55_2	PILA	531	-99	5500	-99	19	-99	0	2017	2017	15.5	2.1	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
AquaBlue	PILA55_2	PILA	531	-99	5500	-99	26	-99	0	2017	2017	14.5	2.4	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
AquaBlue	PILA55_2	PILA	531	-99	5500	-99	27	-99	0	2017	2017	-99	-99	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
