TAG_COLOR	Lot_Name	Species	lot	MOM	seed_zone	elevation_cat	elevation_band	tree_num	metal_tag	Genotype	Plant_Yr	Mort_Yr	Height_17	Height_18	BD_18	%_alive_needles_18	Height_19	BD_19	%_alive_needles_19	Height_20	BD_20	%_alive_needles_20	Tissue_collected	Height_21	BD_21	alive_needles_21	num_needles
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	6	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	20	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	21	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	22	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	23	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	24	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	25	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	26	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	27	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	5	-99	0	2018	2019	-99	13	2.43	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	1	-99	0	2018	2019	-99	9	2.12	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	13	-99	0	2018	2018	-99	13	2.97	25	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	3	-99	0	2018	2019	-99	15	3.57	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	10	-99	0	2018	2019	-99	10	2.8	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	7	2015	0	2018	2020	-99	10	2.26	50	5.5	3.09	50	-99	-99	-99	-99	-99	-99	-99	-99
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	16	2950	0	2018	2021	-99	8	3.32	100	11.5	5.5	100	18.5	6.4	100	3	20.2	7.1	0	5
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	17	2965	0	2018	-99	-99	14	4.23	100	14	7.24	100	20	6.8	100	3	24.6	11	75	5
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	11	2380	0	2018	-99	-99	11	3.25	100	13	5.1	100	16	2.4	100	3	20.6	8.2	80	5
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	8	177	0	2018	-99	-99	11	2.56	100	20	6.25	100	-99	-99	-99	-99	36.2	12.4	100	5
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	2	272	0	2018	-99	-99	12	4.02	100	10	6.1	100	10	7.6	90	3	16.4	10.7	100	5
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	4	940	1	2018	-99	-99	14	2.96	100	26	6.56	100	42	11.2	100	5	59.8	18.4	100	5
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	14	2812	0	2018	-99	-99	13	2.83	100	20	5.16	100	28.9	9.1	100	2	48.2	13.6	100	5
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	9	2246	0	2018	-99	-99	12	2.99	100	22	5.1	100	34	11.4	100	3	-99	-99	-99	-99
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	15	2833	0	2018	-99	-99	14	3.27	100	17.5	5.52	100	23	6.3	100	3	-99	-99	-99	-99
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	12	2838	0	2018	-99	-99	13	3.54	100	15	5.17	100	24	6.2	100	2	-99	-99	-99	-99
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	19	2976	0	2018	-99	-99	12	3.28	100	13	6.09	100	21.3	7.5	95	3	-99	-99	-99	-99
black/grey 	PILA55_1	PILA	6448	19490	526	-99	5500	18	2987	0	2018	-99	-99	13	4.28	100	10.5	6.78	100	25	9.5	80	2	-99	-99	-99	-99
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	3	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	9	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	20	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	21	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	22	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	23	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	24	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	25	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	1	-99	0	2018	2019	-99	18	3.74	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	7	-99	0	2018	2019	-99	11	2.84	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	15	-99	0	2018	2019	-99	14	3.39	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	19	2081	0	2018	2020	-99	13	2.53	100	11	3.84	100	-99	-99	-99	-99	13	3.8	0	5
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	8	2132	0	2018	2020	-99	12	2.59	100	15	3.97	100	-99	-99	-99	-99	19	5.3	0	5
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	4	412	0	2018	2021	-99	16	2.82	100	17	5.33	100	-99	-99	-99	-99	-99	-99	-99	-99
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	5	2230	0	2018	2021	-99	20	3.82	100	28.5	5.57	100	-99	-99	-99	-99	-99	-99	-99	-99
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	13	3000	0	2018	2021	-99	17	2.94	100	18	5.77	100	-99	-99	-99	-99	-99	-99	-99	-99
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	18	2406	1	2018	2021	-99	9	2.4	100	7.5	3.73	100	8.5	4	80	2	9.8	3.8	0	5
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	11	2939	0	2018	2021	-99	15	3.55	100	17	5.56	100	23	7.1	95	3	25	8	0	5
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	2	2158	0	2018	-99	-99	15	2.34	100	10	4.67	100	13	7.8	100	3	14.2	7.9	75	5
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	14	1003	0	2018	-99	-99	11	3.29	100	17.5	6.86	100	24	10.3	100	2	37.4	10.1	100	5
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	6	2134	0	2018	-99	-99	12	2.32	100	14	3.5	100	23	8.1	100	3	29.4	12.9	100	5
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	17	2829	0	2018	-99	-99	14	3.31	100	18.5	5.37	100	-99	-99	-99	-99	39	10.2	100	5
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	16	2951	1	2018	-99	-99	13	2.8	100	18	6.11	100	24.3	5.7	100	3	41.8	9	100	5
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	10	2955	0	2018	-99	-99	19	4.11	100	29	5.37	100	21.4	7.4	85	3	31.8	9.3	100	5
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	-99	1667	1	2018	-99	-99	-99	-99	-99	16	5.18	100	22.5	5.4	70	3	-99	-99	-99	-99
black/black	PILA55_2	PILA	8159	19463	526	-99	5500	12	2988	0	2018	-99	-99	10	2.81	100	11	3.8	100	14	5.7	95	2	-99	-99	-99	-99
black/It-green	PILA55_3	PILA	6456/8160	19462	526	-99	5500	-99	2021	0	2018	-99	-99	18	3.97	100	20	6.59	100	26	8	100	3	35.6	13.3	100	5
black/LtGreen	PILA55_3	PILA	6456/8160	19475	526	-99	5500	17	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
black/LtGreen	PILA55_3	PILA	6456/8160	19463	526	-99	5500	5	129	0	2018	2020	-99	9	2.16	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
